2016-06-09 12:42:59.0986|INFO|thread:53|GitEnvironment|PATH is C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\Ирина\AppData\Local\Apps\2.0\WTM5411E.PVE\YL85OGTR.XH7\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\Ирина\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\12.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\3.1\Framework\v4.0\
2016-06-09 12:42:59.0986|INFO|thread:53|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\
2016-06-09 12:42:59.3646|INFO|thread:74|ConcurrentRepositoryConnection|Took 258ms to git status
2016-06-09 12:42:59.3646|INFO|thread:74|ConcurrentRepositoryConnection|Took 258ms to git status and parse output
2016-06-09 12:42:59.4386|INFO|thread:74|NewCommitViewModel|Took 391ms to load files for C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks
2016-06-09 12:42:59.4386|INFO|thread:74|AsyncReaderWriterLock|Released concurrent scheduler for operation: 267 at GitClient.cs:290 after blocking 0.3910289s
2016-06-09 12:42:59.6437|INFO|thread: 1|NewCommitViewModel|Took 205ms to render file list for C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks
2016-06-09 12:42:59.6437|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 268 at RepositoryViewModel.cs:318
2016-06-09 12:42:59.6437|INFO|thread:64|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 268 at RepositoryViewModel.cs:318 after waiting 4.88E-05s
2016-06-09 12:42:59.6647|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 268 at RepositoryViewModel.cs:318 after blocking 0.0194019s
2016-06-09 12:48:14.8874|INFO|thread:59|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 269 at BranchSynchronizer.cs:141
2016-06-09 12:48:14.8874|INFO|thread:57|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 269 at BranchSynchronizer.cs:141 after waiting 5.91E-05s
2016-06-09 12:48:14.9186|INFO|thread:74|GitEnvironment|Process set up with this SSH Agent info: 5820:/tmp/ssh-8lgaIFTZESYq/agent.5824
2016-06-09 12:48:14.9186|INFO|thread:74|GitEnvironment|PATH is C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\Ирина\AppData\Local\Apps\2.0\WTM5411E.PVE\YL85OGTR.XH7\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\Ирина\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\12.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\3.1\Framework\v4.0\
2016-06-09 12:48:14.9186|INFO|thread:74|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ирина\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd\git.exe', Args: 'fetch --prune --recurse-submodules=on-demand origin ', Working Directory: C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\
2016-06-09 12:48:15.6206|INFO|thread: 1|NewPullRequestViewModel|No matching pull request found, clearing selection...
2016-06-09 12:48:15.6518|INFO|thread:66|BackgroundFetcher|Got a refresh period for C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\.git of 300 seconds
2016-06-09 12:48:15.6518|INFO|thread:66|BackgroundFetcher|Added a delay for C:\Ruby\rails\tsk\executor_of_tasks\tsk-executor_of_tasks\.git of 22604 milliseconds
